SIZE_CATEGORY,BANK_COUNT,AVG_ASSETS,MIN_ASSETS,MAX_ASSETS
$1B - $10B,7,6400285.714285714286,3287000.00000000000,9772000.00000000000
$10B - $50B,189,33231063.492063492063,10862000.00000000000,49945000.00000000000
> $50B,4255,5775086875.675675675676,50060000.00000000000,3643099000000.00000000000
