BANK_NAME,STATE,VARIABLE_NAME,VALUE,UNIT,DATE
"American Bank & Trust Company, Inc.",KY,Total Assets,891906000.00000000000,USD,2025-03-31
American Bank and Trust Company,OK,Total Assets,306591000.00000000000,USD,2025-03-31
"American Bank and Trust Company, National Association",IA,Total Assets,501067000.00000000000,USD,2025-03-31
American Bank of Baxter Springs,KS,Total Assets,191791000.00000000000,USD,2025-03-31
American Bank of Beaver Dam,WI,Total Assets,199663000.00000000000,USD,2025-03-31
American Bank of Commerce,TX,Total Assets,1490531000.00000000000,USD,2025-03-31
American Bank of Freedom,MO,Total Assets,941567000.00000000000,USD,2025-03-31
American Bank of Oklahoma,OK,Total Assets,385461000.00000000000,USD,2025-03-31
American Bank of the Carolinas,NC,Total Assets,192369000.00000000000,USD,2025-03-31
"American Bank, National Association",IA,Total Assets,551879000.00000000000,USD,2025-03-31
"American Bank, National Association",TX,Total Assets,602901000.00000000000,USD,2025-03-31
"American Bank, National Association",TX,Total Assets,2517020000.00000000000,USD,2025-03-31
"American Bank, National Association",TX,Total Assets,632208000.00000000000,USD,2025-03-31
American Business Bank,CA,Total Assets,4174286000.00000000000,USD,2025-03-31
"American Commerce Bank, National Association",GA,Total Assets,511515000.00000000000,USD,2025-03-31
"American Commercial Bank & Trust, National Association",IL,Total Assets,1764192000.00000000000,USD,2025-03-31
American Community Bank,NY,Total Assets,287564000.00000000000,USD,2025-03-31
American Community Bank & Trust,IL,Total Assets,1037593000.00000000000,USD,2025-03-31
American Community Bank of Indiana,IN,Total Assets,375206000.00000000000,USD,2025-03-31
American Continental Bank,CA,Total Assets,362729000.00000000000,USD,2025-03-31
American Eagle Bank,IL,Total Assets,485969000.00000000000,USD,2025-03-31
American Exchange Bank,NE,Total Assets,67901000.00000000000,USD,2025-03-31
American Exchange Bank,OK,Total Assets,96004000.00000000000,USD,2025-03-31
"American Exchange Bank, Lindsay, Oklahoma",OK,Total Assets,97307000.00000000000,USD,2025-03-31
American Express National  Bank,UT,Total Assets,203447693000.00000000000,USD,2025-03-31
American Federal Bank,ND,Total Assets,770656000.00000000000,USD,2025-03-31
American First National Bank,TX,Total Assets,2807023000.00000000000,USD,2025-03-31
American Heritage Bank,NM,Total Assets,136277000.00000000000,USD,2025-03-31
American Heritage Bank,OK,Total Assets,1530372000.00000000000,USD,2025-03-31
American Heritage National Bank,MN,Total Assets,559086000.00000000000,USD,2025-03-31
American Interstate Bank,NE,Total Assets,120302000.00000000000,USD,2025-03-31
American Metro Bank,IL,Total Assets,109457000.00000000000,USD,2025-03-31
American Momentum Bank,TX,Total Assets,2823668000.00000000000,USD,2025-03-31
American Nation Bank,OK,Total Assets,672711000.00000000000,USD,2025-03-31
American National Bank,NE,Total Assets,5209470000.00000000000,USD,2025-03-31
