BANK_NAME,STATE,VARIABLE_NAME,VALUE,UNIT,DATE
Bank of Mead,NE,Total Assets,38454000.00000000000,USD,2025-03-31
Bank of Millbrook,NY,Total Assets,284094000.00000000000,USD,2025-03-31
Bank of Milton,WI,Total Assets,206557000.00000000000,USD,2025-03-31
Bank of Montana,MT,Total Assets,326582000.00000000000,USD,2025-03-31
Bank of Monticello,GA,Total Assets,155241000.00000000000,USD,2025-03-31
Bank of Monticello,MO,Total Assets,148931000.00000000000,USD,2025-03-31
Bank of Moundville,AL,Total Assets,128133000.00000000000,USD,2025-03-31
Bank of New Cambria,MO,Total Assets,34548000.00000000000,USD,2025-03-31
Bank of New England,NH,Total Assets,1688107000.00000000000,USD,2025-03-31
Bank of New Hampshire,NH,Total Assets,2654603000.00000000000,USD,2025-03-31
Bank of New Madrid,MO,Total Assets,126532000.00000000000,USD,2025-03-31
Bank of Newington,GA,Total Assets,287171000.00000000000,USD,2025-03-31
Bank of O'Fallon,IL,Total Assets,374915000.00000000000,USD,2025-03-31
Bank of Oak Ridge,LA,Total Assets,117974000.00000000000,USD,2025-03-31
Bank of Oak Ridge,NC,Total Assets,674415000.00000000000,USD,2025-03-31
Bank of Ocean City,MD,Total Assets,657883000.00000000000,USD,2025-03-31
Bank of Odessa,MO,Total Assets,640595000.00000000000,USD,2025-03-31
Bank of Ontario,WI,Total Assets,80295000.00000000000,USD,2025-03-31
Bank of Pensacola,FL,Total Assets,139244000.00000000000,USD,2025-03-31
Bank of Perry County,TN,Total Assets,235560000.00000000000,USD,2025-03-31
Bank of Pontiac,IL,Total Assets,1136841000.00000000000,USD,2025-03-31
Bank of Prague,NE,Total Assets,42605000.00000000000,USD,2025-03-31
Bank of Prairie Village,KS,Total Assets,155758000.00000000000,USD,2025-03-31
Bank of Prairie du Sac,WI,Total Assets,613585000.00000000000,USD,2025-03-31
Bank of Rantoul,IL,Total Assets,262795000.00000000000,USD,2025-03-31
Bank of Richmondville,NY,Total Assets,185020000.00000000000,USD,2025-03-31
Bank of Salem,MO,Total Assets,143360000.00000000000,USD,2025-03-31
Bank of Salem,AR,Total Assets,250882000.00000000000,USD,2025-03-31
Bank of San Francisco,CA,Total Assets,638907000.00000000000,USD,2025-03-31
Bank of South Texas,TX,Total Assets,159107000.00000000000,USD,2025-03-31
Bank of Springfield,IL,Total Assets,1750082000.00000000000,USD,2025-03-31
Bank of St. Francisville,LA,Total Assets,383474000.00000000000,USD,2025-03-31
Bank of Star Valley,WY,Total Assets,403597000.00000000000,USD,2025-03-31
Bank of Stockton,CA,Total Assets,4550919000.00000000000,USD,2025-03-31
Bank of Stronghurst,IL,Total Assets,87250000.00000000000,USD,2025-03-31
Bank of Sun Prairie,WI,Total Assets,732961000.00000000000,USD,2025-03-31
Bank of Sunset and Trust Company,LA,Total Assets,197621000.00000000000,USD,2025-03-31
Bank of Tennessee,TN,Total Assets,1974651000.00000000000,USD,2025-03-31
Bank of Texas,TX,Total Assets,550564000.00000000000,USD,2025-03-31
Bank of The Rockies,MT,Total Assets,258732000.00000000000,USD,2025-03-31
Bank of Travelers Rest,SC,Total Assets,1529260000.00000000000,USD,2025-03-31
Bank of Utah,UT,Total Assets,3513215000.00000000000,USD,2025-03-31
Bank of Utica,NY,Total Assets,1418618000.00000000000,USD,2025-03-31
Bank of Vici,OK,Total Assets,34262000.00000000000,USD,2025-03-31
Bank of Walker County,AL,Total Assets,95547000.00000000000,USD,2025-03-31
Bank of Washington,MO,Total Assets,1178767000.00000000000,USD,2025-03-31
Bank of Western Oklahoma,OK,Total Assets,411954000.00000000000,USD,2025-03-31
Bank of Weston,MO,Total Assets,224067000.00000000000,USD,2025-03-31
"Bank of Whittier, National Association",CA,Total Assets,173360000.00000000000,USD,2025-03-31
Bank of Wiggins,MS,Total Assets,212606000.00000000000,USD,2025-03-31
Bank of Winnfield & Trust Company,LA,Total Assets,160581000.00000000000,USD,2025-03-31
Bank of Winona,MS,Total Assets,141609000.00000000000,USD,2025-03-31
Bank of Wisconsin Dells,WI,Total Assets,1009644000.00000000000,USD,2025-03-31
Bank of Wolcott,IN,Total Assets,243916000.00000000000,USD,2025-03-31
Bank of Wrightsville,GA,Total Assets,97947000.00000000000,USD,2025-03-31
Bank of Yates City,IL,Total Assets,91061000.00000000000,USD,2025-03-31
Bank of Yazoo City,MS,Total Assets,321140000.00000000000,USD,2025-03-31
Bank of York,SC,Total Assets,296091000.00000000000,USD,2025-03-31
Bank of Zachary,LA,Total Assets,405419000.00000000000,USD,2025-03-31
Bank of the Bluegrass and Trust Company,KY,Total Assets,386528000.00000000000,USD,2025-03-31
Bank of the Federated States of Micronesia,FM,Total Assets,246163000.00000000000,USD,2025-03-31
Bank of the Flint Hills,KS,Total Assets,468873000.00000000000,USD,2025-03-31
Bank of the James,VA,Total Assets,1002624000.00000000000,USD,2025-03-31
Bank of the Lowcountry,SC,Total Assets,369808000.00000000000,USD,2025-03-31
"Bank of the Mountains, Inc.",KY,Total Assets,95144000.00000000000,USD,2025-03-31
Bank of the Orient,CA,Total Assets,982458000.00000000000,USD,2025-03-31
Bank of the Pacific,WA,Total Assets,1218107000.00000000000,USD,2025-03-31
Bank of the Plains,KS,Total Assets,435730000.00000000000,USD,2025-03-31
Bank of the Sierra,CA,Total Assets,3603679000.00000000000,USD,2025-03-31
Bank of the Southwest,NM,Total Assets,186018000.00000000000,USD,2025-03-31
Bank of the Valley,NE,Total Assets,537792000.00000000000,USD,2025-03-31
Bank of the West,TX,Total Assets,794026000.00000000000,USD,2025-03-31
Bank3,TN,Total Assets,450979000.00000000000,USD,2025-03-31
Bank47,AL,Total Assets,71276000.00000000000,USD,2025-03-31
"BankChampaign, National Association",IL,Total Assets,239591000.00000000000,USD,2025-03-31
BankCherokee,MN,Total Assets,398303000.00000000000,USD,2025-03-31
"BankFinancial, National Association",IL,Total Assets,1433172000.00000000000,USD,2025-03-31
BankFirst,NE,Total Assets,1101696000.00000000000,USD,2025-03-31
BankFirst Financial Services,MS,Total Assets,2790484000.00000000000,USD,2025-03-31
BankFlorida,FL,Total Assets,401347000.00000000000,USD,2025-03-31
BankGloucester,MA,Total Assets,378386000.00000000000,USD,2025-03-31
BankIowa,IA,Total Assets,853215000.00000000000,USD,2025-03-31
BankMiami,FL,Total Assets,40477000.00000000000,USD,2025-03-31
BankNewport,RI,Total Assets,2853155000.00000000000,USD,2025-03-31
BankNorth,ND,Total Assets,631949000.00000000000,USD,2025-03-31
BankOkolona,MS,Total Assets,345371000.00000000000,USD,2025-03-31
BankOrion,IL,Total Assets,660522000.00000000000,USD,2025-03-31
"BankPacific, Ltd",GU,Total Assets,177536000.00000000000,USD,2025-03-31
BankPlus,MS,Total Assets,8025891000.00000000000,USD,2025-03-31
BankProv,MA,Total Assets,1553926000.00000000000,USD,2025-03-31
BankSouth,AL,Total Assets,211470000.00000000000,USD,2025-03-31
BankSouth,GA,Total Assets,1362000000.00000000000,USD,2025-03-31
BankStar Financial,SD,Total Assets,333747000.00000000000,USD,2025-03-31
BankTennessee,TN,Total Assets,608675000.00000000000,USD,2025-03-31
"BankUnited, National Association",FL,Total Assets,34811275000.00000000000,USD,2025-03-31
BankVista,MN,Total Assets,608722000.00000000000,USD,2025-03-31
"BankWest, Inc.",SD,Total Assets,1812982000.00000000000,USD,2025-03-31
Bankers Trust Company,IA,Total Assets,7354116000.00000000000,USD,2025-03-31
Bankers' Bank,WI,Total Assets,1463208000.00000000000,USD,2025-03-31
Bankers' Bank of Kansas,KS,Total Assets,227737000.00000000000,USD,2025-03-31
Bankers' Bank of the West,CO,Total Assets,428264000.00000000000,USD,2025-03-31
Bankesb,MA,Total Assets,2031813000.00000000000,USD,2025-03-31
Bankhometown,MA,Total Assets,1567141000.00000000000,USD,2025-03-31
Bankwell Bank,CT,Total Assets,3178509000.00000000000,USD,2025-03-31
Banner Bank,WA,Total Assets,16187323000.00000000000,USD,2025-03-31
Banner Banks,WI,Total Assets,122820000.00000000000,USD,2025-03-31
Banner Capital Bank,NE,Total Assets,351135000.00000000000,USD,2025-03-31
Banterra Bank,IL,Total Assets,3171387000.00000000000,USD,2025-03-31
Bar Harbor Bank & Trust,ME,Total Assets,4058800000.00000000000,USD,2025-03-31
Bar Harbor Savings and Loan Association,ME,Total Assets,98994000.00000000000,USD,2025-03-31
Baraboo State Bank,WI,Total Assets,541817000.00000000000,USD,2025-03-31
Barclays Bank Delaware,DE,Total Assets,45277000000.00000000000,USD,2025-03-31
"Barrington Bank & Trust Company, National Association",IL,Total Assets,4541360000.00000000000,USD,2025-03-31
Barwick Banking Company,GA,Total Assets,603254000.00000000000,USD,2025-03-31
Basile State Bank,LA,Total Assets,81231000.00000000000,USD,2025-03-31
Bath Savings Institution,ME,Total Assets,1415126000.00000000000,USD,2025-03-31
Bath State Bank,IN,Total Assets,323263000.00000000000,USD,2025-03-31
Battle Creek State Bank,NE,Total Assets,48232000.00000000000,USD,2025-03-31
Bay Bank,WI,Total Assets,307771000.00000000000,USD,2025-03-31
Bay Port State Bank,MI,Total Assets,151692000.00000000000,USD,2025-03-31
Bay State Savings Bank,MA,Total Assets,547133000.00000000000,USD,2025-03-31
BayCoast Bank,MA,Total Assets,2958260000.00000000000,USD,2025-03-31
BayFirst National Bank,FL,Total Assets,1291832000.00000000000,USD,2025-03-31
BayVanguard Bank,MD,Total Assets,914177000.00000000000,USD,2025-03-31
Baybank,MI,Total Assets,165570000.00000000000,USD,2025-03-31
Beach Cities Commercial Bank,CA,Total Assets,153845000.00000000000,USD,2025-03-31
Beacon Community Bank,SC,Total Assets,836761000.00000000000,USD,2025-03-31
Beal Bank USA,NV,Total Assets,16287294000.00000000000,USD,2025-03-31
Beardstown Savings s.b.,IL,Total Assets,71949000.00000000000,USD,2025-03-31
Beauregard Federal Savings Bank,LA,Total Assets,80896000.00000000000,USD,2025-03-31
Bedford Federal Savings Bank,IN,Total Assets,263241000.00000000000,USD,2025-03-31
Bedford Loan & Deposit Bank,KY,Total Assets,113647000.00000000000,USD,2025-03-31
Belgrade State Bank,MO,Total Assets,491551000.00000000000,USD,2025-03-31
Bell Bank,ND,Total Assets,14499349000.00000000000,USD,2025-03-31
Bellevue State Bank,IA,Total Assets,168926000.00000000000,USD,2025-03-31
Belmont Bank & Trust Company,IL,Total Assets,977841000.00000000000,USD,2025-03-31
Belmont Savings Bank,OH,Total Assets,527581000.00000000000,USD,2025-03-31
"Belmont Savings Bank, SSB",NC,Total Assets,139597000.00000000000,USD,2025-03-31
Belt Valley Bank,MT,Total Assets,81276000.00000000000,USD,2025-03-31
Benchmark Bank,TX,Total Assets,1218286000.00000000000,USD,2025-03-31
Benchmark Community Bank,VA,Total Assets,1284317000.00000000000,USD,2025-03-31
